"name","price","no_of_reviews"
"Under Wired-Headset-Earphones-Headphones-No-Mic","148",""
"STARZ Heavy Duty Shockproof for Samsung Galaxy M21 Military Grade Armor Dual Protection Layer Hybrid Kick Stand Back Cover Case for Samsung Galaxy M21","199",""
"UTRONICS™ Mobile Battery for Samsung Galaxy S4 Mini / i9195 / i9198 / B500AE / i9190 / i9192 / B500BE 1900mAh Genuine Battery","599",""
"JPACC ™ Tempered Glass For Samsung Galaxy S10 Lite Full Glue 9H Edge To Edge 11D Tempered Glass For Samsung Galaxy S10 Lite","299",""
"UTRONICS™ Mobile Battery for  HTC Desire 526 / 526G Plus / BOPL4100 2000mAh Genuine Battery","599",""
"Case Creation Designed for Realme X Hybrid Shockproof Transparent Back Cover,Flexible Protective Edges Crystal Clear TPU Corners Back Case Cover for Realme X","299",""
"Mototive 3 in 1 Phone Camera Macro, Wide Angle & Fisheye Clip-On Mobile Lens for All Latest Smartphones","329",""
"KC Glitter Auora with Round Ring Diamond Stand Transparent Silicon Back Cover for Samsung Galaxy M21 (Rose Gold)","599",""
"Grandhit 18x Mobile Lens Full HD Quality DSLR Background Blur Monocular Telescope with Tripod Stand and Mobile Camera Clip for All Mobile Phones","1,279",""
"UTRONICS™ Mobile Battery for Redmi 3 / Redmi 3S / Redmi 3S Prime/Mi 3S / Mi 3S Prime / BM47 4000mAh Genuine Battery","699",""
"Case Creation Latest Oneplus 7 Pro Back Case,Ultra Thin 0.3mm Clear Transparent Flexible Soft TPU Slim Back Case Cover for OnePlus 7 Pro Color - Transparent Full Cover Protection Design","299",""
"Runvy 6D Tempered Glass for Xiaomi Poco X2 / Xiaomi Redmi Note 9 Pro & Note 9 Pro MAX (Black) Edge to Edge Full Screen Coverage with Installation Kit","269",""
"ValueActive Back Cover for OnePlus 8 Case Back Cover Rugged Armor TPU + PC Hybrid Kickstand Back Case/Cover with Ring Holder Designed for OnePlus 8/One Plus 8/1+8 (OnePlus 8, Black)","399",""
"SkyTree Case for Xiaomi Poco F1, Ultra Fit Flip Folio Leather Case Cover with [Kickstand] [Card Slot] Magnetic Closure for Xiaomi Poco F1 - Black","799",""
"Cassby Vivo V19 Tempered Glass Screen Protector","149",""
"Lustree Plain Flexible [Bumper] Transparent Soft Slim Back Cover for Redmi Note 9 Pro Max/Redmi Note 9 Pro","229",""
"Case Creation Brand - Mobile Cover for ASUS ROG Phone 2 (ZS660KL) (Soft & Flexible Back Case), Transparent","299",""
"REALCASE iPhone SE 2020 case, iPhone 8 Case, iPhone 7 Case, Soft Silicone Slim Back Cover Case for iPhone SE 2nd (2020) / iPhone 8 / iPhone 7 4.7 inches, (Red)","199",""
"UTRONICS™ Mobile Battery for Vivo V5 1601 / Vivo V5S / Perfect Selfie 1713 / Vivo Y66 1609 / Vivo Y69 1714 3000mAh Genuine Battery","790",""
"Case Creation Oppo Reno 2F Transparent Case,Dotted Finish Ultra Thin Silicone Soft Jelly Case Back Cover for Oppo Reno 2F - Transparent Mobile Phone Case,Back Case,Back Cover","299",""
